Symbol,Description,Industry,Sector,Exchange,Index,Market capitalization,Market capitalization - Currency,Price,Price - Currency,Pre-market Open,Pre-market Open - Currency,Pre-market Change,Pre-market Change - Currency,Pre-market Change %,Pre-market Gap %,Float shares outstanding,Volume 1 day,Volume 1 week,Pre-market Volume,Average Volume 10 days,Average Volume 30 days,Average Volume 90 days,Volatility 1 day,Volatility 1 week,Volatility 1 month,Volume Weighted Average Price 1 day,Price to earnings ratio,Relative Volume at Time,Relative Volume 1 day,Beta 1 year,Beta 3 years,Beta 5 years,Relative Volume 1 minute,Relative Volume 5 minutes,Relative Volume 15 minutes,Relative Volume 30 minutes,Relative Volume 1 hour,Relative Volume 2 hours,Relative Volume 4 hours,Relative Volume 1 week,Relative Volume 1 month,High 1 month,High 1 month - Currency,High 3 months,High 3 months - Currency,High 6 months,High 6 months - Currency,High 52 weeks,High 52 weeks - Currency,High All Time,High All Time - Currency,High 5 minutes,High 5 minutes - Currency,High 15 minutes,High 15 minutes - Currency,High 30 minutes,High 30 minutes - Currency,High 1 hour,High 1 hour - Currency,High 2 hours,High 2 hours - Currency,High 4 hours,High 4 hours - Currency,High 1 day,High 1 day - Currency,High 1 week,High 1 week - Currency,High 1 month,High 1 month - Currency,"Revenue per employee, Annual","Revenue per employee, Annual - Currency",Simple Moving Average (5) 1 minute,Simple Moving Average (8) 1 minute,Simple Moving Average (5) 5 minutes,Simple Moving Average (13) 5 minutes,"Bollinger Bands (20) 1 minute, Upper","Bollinger Bands (20) 1 minute, Basis","Bollinger Bands (20) 1 minute, Lower","Bollinger Bands (20) 5 minutes, Upper","Bollinger Bands (20) 5 minutes, Basis","Bollinger Bands (20) 5 minutes, Lower",International Securities Identification Number,Relative Volume 1 day,Recent earnings date,Upcoming earnings date,Analyst Rating,Target price 1 year,Target price 1 year - Currency,Technical Rating 5 minutes,Exponential Moving Average (3) 1 day,Exponential Moving Average (7) 1 day
PEP,"PepsiCo, Inc.",Food: specialty/candy,Consumer non-durables,NASDAQ,"S&P 500, NASDAQ 100, NASDAQ Composite, S&P 500 Consumer Staples, S&P 100, Russell 3000, Russell 1000, NASDAQ Industrials, S&P 500 ESG",203132847757,USD,148.11,USD,148.24,USD,0.38999999999998636,USD,0.26331780433460694,0.08777260144486898,1366747752.5,6080054,19688322,9689,7520443.7,7561499.433333334,6866584.455555555,1.4952825368711617,1.4751177992251812,2.492681630084614,147.9283333333333,21.317846193704394,0.8423412795557755,0.813895983196624,0.1481683,0.3267179,0.5296504,3.810387246327346,4.153804373822489,3.6636290077702522,3.9962359190234378,1.7708057000710384,1.0183987406755153,1.147509147436062,0.5650666099688272,0.8250698052859925,160.15,USD,160.15,USD,177.5,USD,183.41,USD,196.88,USD,148.15,USD,148.15,USD,148.15,USD,148.15,USD,148.15,USD,148.15,USD,148.88,USD,151.67,USD,160.15,USD,287940.438871473,USD,147.9915599999997,147.91534999999968,147.86100000000027,147.78026153846173,148.05638580462025,147.84250999999995,147.62863419537965,148.2275276910233,147.58816999999942,146.94881230897553,,0.813895983196624,2025-02-03,2025-04-24,Neutral,162.3,USD,Buy,148.8612070727896,149.83998488820845
T,AT&T Inc.,Wireless telecommunications,Communications,NYSE,"S&P 500, S&P 500 Communication Services, S&P 100, Russell 3000, Russell 1000, S&P 500 ESG, NASDAQ CB Insights Metaverse US Index",192662435646,USD,26.84,USD,26.9,USD,0.05999999999999872,USD,0.2235469448584155,0.2235469448584155,7167204562.78,30145680,106081234,73555,44370281.50000001,42979972.46666666,38589107.499999985,1.8324933932696421,2.236281799559428,2.763608320892397,26.741766666666667,17.989276139410187,0.5544166065851741,0.6617174377280755,0.11634401,0.46752074,0.53537244,3.451936701311097,4.891133881443021,4.459690871812676,3.6852874636604724,1.561239121853549,0.8096775322551397,0.753226701460953,0.5280352339795733,0.8588647439625418,27.97,USD,27.97,USD,27.97,USD,27.97,USD,45.23938739,USD,26.875,USD,26.91,USD,26.935,USD,26.935,USD,26.935,USD,26.935,USD,26.935,USD,26.98,USD,27.97,USD,867692.744166253,USD,26.83499999999995,26.834374999999984,26.85299999999996,26.850384615384698,26.909906971001586,26.859705000000037,26.80950302899849,26.93178980372785,26.81949999999992,26.70721019627199,,0.6617174377280755,2025-01-27,2025-04-23,Buy,27.333333,USD,Buy,26.71939895049516,26.613311835785836
VZ,Verizon Communications Inc.,Wireless telecommunications,Communications,NYSE,"S&P 500, Dow Jones Industrial Average, S&P 500 Communication Services, S&P 100, Russell 3000, Dow Jones Composite Average, Russell 1000, NASDAQ CB Insights Metaverse US Index",184974392442.00003,USD,43.94,USD,44.01,USD,0.10999999999999943,USD,0.25034137460172834,0.1593081474738286,4207670924.6,14373277,46188597,51097,31579735.099999987,23674036.966666657,21753478.02222222,1.3723696248856392,1.7356392435298074,2.498548849457571,43.99333333333333,10.599700873257103,0.3911450816934902,0.4499207083639497,0.28796327,0.46336055,0.3962021,4.372640782565542,5.766612768456565,3.6665731092633527,2.9697795206971676,1.1914659173651452,0.6950627408473322,0.651268957833307,0.3831531604351741,1.0052715515587758,47.355,USD,47.355,USD,47.355,USD,47.355,USD,63.997594,USD,43.995,USD,44.055,USD,44.125,USD,44.125,USD,44.125,USD,44.125,USD,44.32,USD,44.43,USD,47.355,USD,1353293.1726907599,USD,43.91799999999997,43.9364124999999,43.97524000000004,43.97319230769238,44.058694965457825,43.976810000000015,43.894925034542204,44.12670552067364,43.91632500000001,43.70594447932638,,0.4499207083639497,2025-01-24,2025-04-22,Buy,46.285714,USD,Sell,43.93434387867805,43.885171402937345
PGR,Progressive Corporation (The),Multi-line insurance,Finance,NYSE,"S&P 500, Nasdaq US Large Cap Growth, Russell 3000, S&P 500 Financials, Russell 1000",160204708063,USD,273.29,USD,273.54,USD,0.7099999999999795,USD,0.2597972849354091,0.09147791723078048,584568962.432,6077064,13080750,418,3393845.6,2901357.066666667,2671729.9444444445,5.9426306144582774,2.9469580701278373,2.4956998934143217,273.0183333333334,18.945580589254767,2.4875317557050134,2.0025082989370375,0.42159912,0.3551669,0.3509333,2.6061285600509008,5.543845123456139,2.8322274415376967,1.6965049620508486,0.9733969059110952,0.6886432892313342,1.4889286511577347,1.0304674745446587,0.8398756232831477,292.99,USD,292.99,USD,292.99,USD,292.99,USD,292.99,USD,273.34,USD,273.34,USD,273.34,USD,273.34,USD,273.34,USD,273.34,USD,278.375,USD,292.99,USD,292.99,USD,1136258.0684080399,USD,273.13499999999965,272.9418750000002,272.8620000000003,272.2180692307695,273.35037717599283,272.75074999999987,272.1511228240069,273.32134779644866,272.1227449999989,270.9241422035491,,2.0025082989370375,2025-01-29,2025-04-10,Buy,295.529412,USD,Buy,279.0150618416443,280.5247430657892
HDB,HDFC Bank Limited,Major banks,Finance,NYSE,,154403284075.80325,USD,63.17,USD,63.46,USD,0.00999999999999801,USD,0.01583029919265159,0.4590786765869861,2548372943.57,3512513,8448591,420,2490849.6,2427316.7333333334,2637403.4,1.492894778859975,1.0227196086802068,1.3793343879447366,63.044999999999995,19.3600784578136,1.476445323328041,1.4626160672641835,0.22859214,0.7888892,0.92094713,4.12368193766934,8.830060767769664,9.896673343653358,6.381459441375999,2.581117249297339,1.6266002582636014,1.713138603143819,0.6873717664972042,0.5878367906806479,63.335,USD,65.24,USD,68.5,USD,68.5,USD,84.7,USD,63.245,USD,63.325,USD,63.325,USD,63.325,USD,63.325,USD,63.335,USD,63.335,USD,63.335,USD,63.335,USD,226740.33672573703,USD,63.199,63.21687499999996,63.267000000000145,63.25723076923061,63.35826600676084,63.266500000000086,63.17473399323933,63.34044219687407,63.255700000000175,63.17095780312628,,1.4626160672641835,2025-01-22,2025-04-21,Strong buy,69.161208,USD,Sell,62.42994949000095,61.502924479647355
PFE,"Pfizer, Inc.",Pharmaceuticals: major,Health technology,NYSE,"S&P 500, S&P 500 Health Care, S&P 100, Russell 3000, Russell 1000",148648832405,USD,26.21,USD,26.22,USD,0.05999999999999872,USD,0.22892025944295583,0.03815337657381919,5664914378.48,42522696,108158279,265374,41169636.3,40826601.56666669,42896734.733333334,1.6104294478527674,1.519399006969448,2.2221810840379677,26.263333333333332,18.617701378036653,0.9910245905328943,1.0467485302257402,0.030250503,0.26334077,0.5806057,1.8127356092730866,3.090168416308718,3.5274839894983185,2.785308452999725,1.5505512904794754,0.9101278011596651,1.1224689948255444,0.573176504899071,0.7095940692214049,27.24,USD,27.57,USD,30.43,USD,31.54,USD,61.71,USD,26.21,USD,26.22,USD,26.22,USD,26.22,USD,26.22,USD,26.26,USD,26.5,USD,26.5,USD,27.24,USD,785518.518518519,USD,26.157999999999976,26.14874999999998,26.18649999999995,26.193453846153815,26.231630996341973,26.171175000000016,26.11071900365806,26.255655707949696,26.18067000000003,26.105684292050366,,1.0467485302257402,2025-02-04,2025-04-29,Buy,30.388889,USD,Buy,26.15828501515687,26.088387698239547
BLK,"BlackRock, Inc.",Investment managers,Finance,NYSE,"S&P 500, S&P 100, Russell 3000, S&P 500 Financials, Russell 1000, S&P 500 ESG",148613240855.99997,USD,957.23,USD,958.03,USD,0.7999999999999545,USD,0.08357448053236469,0.08357448053236469,144032865.69,1086897,3096015,100,891847.1,865121.1,800658.911111111,1.5773501577287028,1.7569901501072198,2.6104616696669014,958.0768666666667,22.787880807787438,1.1661782825795304,1.2537163755604337,0.8831346,1.4761468,1.3027608,4.247063887351657,6.534702698567521,3.118840765556375,2.29137044733676,1.3301888931721808,0.6537003832382574,1.4627493879556697,0.770322034352912,0.8825770706957695,993.21,USD,1084.22,USD,1084.22,USD,1084.22,USD,1084.22,USD,958.05,USD,961.13,USD,961.13,USD,961.13,USD,961.13,USD,961.13,USD,966.0006,USD,966.0006,USD,990.79,USD,990710.9004739339,USD,956.3220000000013,956.6974999999999,958.7360000000004,957.9723076923096,961.7529092304471,958.2843749999981,954.8158407695491,962.1187181801236,956.7515000000001,951.3842818198766,,1.2537163755604337,2025-01-15,2025-04-11,Strong buy,1171.4,USD,Sell,952.8377366144572,943.9681255551695
UL,Unilever PLC,Household/Personal care,Consumer non-durables,NYSE,,147867644638.11728,USD,58.92,USD,58.9,USD,0.17799999999999727,USD,0.3021045485403891,-0.03394433129667876,2512857280.7,1891242,6091638,39459,2337629,2720874.5,2527534.677777778,0.7173968741993367,0.7783287785974373,1.2789903976078683,58.81,23.780118658433224,0.8302777965552426,0.8009771093855813,0.14072932,0.4485441,0.4650085,4.880651233050797,2.72765761273509,2.5095399917115624,1.932406367498413,0.9634451403217266,0.5062812737709979,1.0347517184318975,0.4856090508812132,0.6041312361891251,61.255,USD,61.255,USD,65.87,USD,65.87,USD,65.87,USD,58.92,USD,58.955,USD,58.965,USD,58.965,USD,58.965,USD,58.965,USD,58.965,USD,59.965,USD,61.255,USD,,,58.89099999999996,58.86625000000009,58.896019999999965,58.867307692307534,58.963597363247416,58.88564505000018,58.80769273675294,59.048451212150134,58.782435000000035,58.516418787849936,,0.8009771093855813,2025-02-13,2025-07-31,Buy,63.410747,USD,Strong buy,58.95458590189616,58.92396563448425
NEE,"NextEra Energy, Inc.",Electric utilities,Utilities,NYSE,"S&P 500, S&P 500 Utilities, S&P 100, Nasdaq US Large Cap Growth, Russell 3000, Dow Jones Utility Average, Dow Jones Composite Average, Russell 1000, S&P 500 ESG, PHLX Utilities Sector",145020358887,USD,70.5,USD,70.46,USD,0.10999999999999943,USD,0.15602836879432544,-0.056737588652491136,2054816635.7199998,9457390,39623413,3603,13273961.6,11702649.566666666,11229432.922222223,1.6857142857142955,2.210065203082776,2.607534046712512,70.56,20.898796466472994,0.6910912883512751,0.7219117217224996,0.410836,0.64191526,0.57439184,3.7931308381521256,6.484656792227571,4.932325194111357,3.923708347842311,1.6589971613029253,0.7332232213471231,0.8748796659938245,0.7047894261962346,0.774152990632219,76.29,USD,76.29,USD,86.1,USD,86.1,USD,93.73,USD,70.5973,USD,70.63,USD,70.655,USD,70.655,USD,70.655,USD,70.655,USD,71.18,USD,73.43,USD,76.29,USD,1452738.0952381,USD,70.501,70.51124999999993,70.52299999999991,70.50811538461534,70.6309088264247,70.53985000000019,70.44879117357567,70.64664237885498,70.4567700000003,70.26689762114563,,0.7219117217224996,2025-01-24,2025-04-29,Buy,86,USD,Neutral,71.10330781640857,71.80646146306266
BMY,Bristol-Myers Squibb Company,Pharmaceuticals: major,Health technology,NYSE,"S&P 500, S&P 500 Health Care, S&P 100, Russell 3000, Russell 1000, S&P 500 ESG",121921069379.99998,USD,60.08,USD,60.63,USD,0.14999999999999858,USD,0.24966711051930524,0.9154460719041349,2027652053.73,8304189,27938826,2466,12380155.6,12562649.133333333,11493124.922222223,1.833165153044057,1.8476633619808858,2.6488794653074996,60.029999999999994,,0.6674882113310646,0.6632509381804053,-0.0679436,0.34705523,0.43538168,5.1263478454078495,4.40907306998292,3.1373955026336957,3.080699805976711,1.101851365838042,0.6168959182151149,0.8576182962316506,0.5073741081481139,0.6115402063416085,63.33,USD,63.33,USD,63.33,USD,63.33,USD,81.435,USD,60.12,USD,60.12,USD,60.12,USD,60.12,USD,60.12,USD,60.12,USD,60.55,USD,60.55,USD,63.33,USD,1416422.28739003,USD,60.00899999999988,59.984999999999815,59.96999999999982,59.95372307692307,60.04989577669622,59.9540000000001,59.85810422330398,60.12871985561257,59.88465500000031,59.64059014438804,,0.6632509381804053,2025-02-06,2025-04-24,Neutral,60.684211,USD,Strong buy,59.98352735152391,60.048875217820346
