Symbol,Description,Industry,Sector,Exchange,Index,Market capitalization,Market capitalization - Currency,Price,Price - Currency,Pre-market Open,Pre-market Open - Currency,Pre-market Change,Pre-market Change - Currency,Pre-market Change %,Pre-market Gap %,Float shares outstanding,Volume 1 day,Volume 1 week,Pre-market Volume,Average Volume 10 days,Average Volume 30 days,Average Volume 90 days,Volatility 1 day,Volatility 1 week,Volatility 1 month,Volume Weighted Average Price 1 day,Price to earnings ratio,Relative Volume at Time,Relative Volume 1 day,Beta 1 year,Beta 3 years,Beta 5 years,Relative Volume 1 minute,Relative Volume 5 minutes,Relative Volume 15 minutes,Relative Volume 30 minutes,Relative Volume 1 hour,Relative Volume 2 hours,Relative Volume 4 hours,Relative Volume 1 week,Relative Volume 1 month,High 1 month,High 1 month - Currency,High 3 months,High 3 months - Currency,High 6 months,High 6 months - Currency,High 52 weeks,High 52 weeks - Currency,High All Time,High All Time - Currency,High 5 minutes,High 5 minutes - Currency,High 15 minutes,High 15 minutes - Currency,High 30 minutes,High 30 minutes - Currency,High 1 hour,High 1 hour - Currency,High 2 hours,High 2 hours - Currency,High 4 hours,High 4 hours - Currency,High 1 day,High 1 day - Currency,High 1 week,High 1 week - Currency,High 1 month,High 1 month - Currency,"Revenue per employee, Annual","Revenue per employee, Annual - Currency",Simple Moving Average (5) 1 minute,Simple Moving Average (8) 1 minute,Simple Moving Average (5) 5 minutes,Simple Moving Average (13) 5 minutes,"Bollinger Bands (20) 1 minute, Upper","Bollinger Bands (20) 1 minute, Basis","Bollinger Bands (20) 1 minute, Lower","Bollinger Bands (20) 5 minutes, Upper","Bollinger Bands (20) 5 minutes, Basis","Bollinger Bands (20) 5 minutes, Lower",International Securities Identification Number,Relative Volume 1 day,Recent earnings date,Upcoming earnings date,Analyst Rating,Target price 1 year,Target price 1 year - Currency,Technical Rating 5 minutes,Exponential Moving Average (3) 1 day,Exponential Moving Average (7) 1 day
KO,Coca-Cola Company (The),Beverages: non-alcoholic,Consumer non-durables,NYSE,"S&P 500, Dow Jones Industrial Average, S&P 500 Consumer Staples, S&P 100, Nasdaq US Large Cap Growth, Russell 3000, Dow Jones Composite Average, Russell 1000, S&P 500 ESG, NYSE Arca Major Market",300001644278,USD,69.71,USD,69.67,USD,0.0800000000000125,USD,0.11476115334960911,-0.05738057667478417,4270208725.36,16295263,59367693,11012,18996354.3,19680063.666666668,18007391.877777778,1.0421189752496727,1.2403801441410813,1.9623547857468508,69.53666666666668,28.330488498740145,0.7154619164432475,0.8341047419325419,0.19489701,0.34270152,0.57445556,9.216458477009258,9.535421313091671,12.394203828869435,7.581478130447778,3.20289694927642,1.5657028449225772,1.0305454718390734,0.6827531970456386,0.9347553104190052,73.22,USD,73.22,USD,73.22,USD,73.53,USD,73.53,USD,69.71,USD,69.75,USD,69.75,USD,69.75,USD,69.75,USD,69.75,USD,69.81,USD,70.19,USD,73.22,USD,670961.262553802,USD,69.61600000000001,69.6256249999999,69.51510000000032,69.44280769230753,69.71626869533074,69.52216000000001,69.32805130466929,69.59812496478904,69.42032500000005,69.24252503521106,,0.8341047419325419,2025-02-11,2025-04-28,Buy,75.591304,USD,Strong buy,69.58110786154441,69.75797362277558
HSBC,"HSBC Holdings, plc.",Major banks,Finance,NYSE,,201758836051.7592,USD,57.61,USD,57.7,USD,0.03999999999999915,USD,0.0694323902100315,0.1562228779725801,3552132895.72,3291028,9238022,66164,2840221.5,3668442.1666666665,1998267.5222222223,2.8666317077434025,1.1340068986032898,1.720272626589662,57.583333333333336,9.353639330421654,1.2438939420544337,1.1214259155064725,0.3143762,0.49863324,0.48449227,3.604666601754402,3.8290122374033864,3.982106338364261,1.4411584052865303,0.8709606695955894,0.5925646554852241,0.6856321321416289,0.7091137829767732,1.4391405925047365,61.88,USD,61.88,USD,61.88,USD,61.88,USD,99.52,USD,57.67,USD,57.7499,USD,57.83,USD,57.83,USD,57.83,USD,57.9,USD,57.93,USD,59.105,USD,61.88,USD,706104.265402844,USD,57.62700000000005,57.63812500000001,57.694000000000116,57.77546153846133,57.787212232853875,57.691249999999755,57.595287767145635,57.91050322053642,57.786299999999905,57.66209677946339,,1.1214259155064725,2025-02-18,2025-05-06,Buy,,,Strong sell,57.99538563411207,57.77273388594557
RTX,RTX Corporation,Aerospace & defense,Electronic technology,NYSE,"S&P 500, S&P 500 Industrials, S&P 100, Russell 3000, Russell 1000",179529532919,USD,134.47,USD,134.3,USD,0.28999999999999204,USD,0.21566148583326544,-0.12642225031604634,1333945827.87,4311706,20455672,1020,4971304.600000006,5242140.166666615,4784915.466666698,1.0718153639317343,1.5530565147578606,2.1048126886965477,134.5583333333333,37.849020490880434,0.7843649358006215,0.8346379634869764,0.3249612,0.42660958,0.84384704,17.334116942082094,14.335945890364005,8.040942591366454,3.5432351344844757,1.1345985298197256,0.6588265344268744,0.6467261444170009,0.854188980950821,0.672643370435715,135.74,USD,135.74,USD,135.74,USD,135.74,USD,135.74,USD,134.59,USD,134.59,USD,134.59,USD,134.59,USD,134.59,USD,134.59,USD,135.32,USD,135.74,USD,135.74,USD,434075.268817204,USD,134.43599999999975,134.42562499999974,134.40699999999964,134.32246153846148,134.53932608065682,134.40759999999983,134.27587391934284,134.58208528792946,134.22685000000007,133.87161471207068,,0.8346379634869764,2025-01-28,2025-04-29,Buy,144.619048,USD,Buy,133.98798498419836,132.40008084530766
RY,Royal Bank Of Canada,Major banks,Finance,NYSE,,160760206337.73923,USD,113.81,USD,115,USD,0.09000000000000341,USD,0.07907916703277693,1.0456023196555644,1412247494,613089,3579849,500,1111212.5,1236763.7333333334,1144647.111111111,1.5650008892050553,1.6006091390287822,2.2206760554088,113.48333333333332,13.463336181317699,0.6859401941123648,0.5368970767964876,0.86504304,0.9681151,0.8365106,2.7128739677812375,7.918361198975749,8.549324670883912,6.4253715005793435,2.029891281428439,1.1330061784073981,0.868220561789048,0.5828769388069979,0.7682761559897715,121.03,USD,124.35,USD,128.05,USD,128.05,USD,128.05,USD,114.01,USD,114.18,USD,114.18,USD,114.18,USD,114.18,USD,114.18,USD,114.18,USD,114.43,USD,119.46,USD,1007709.5510238508,USD,113.79600000000012,113.84437499999996,113.97000000000052,113.85846153846202,114.14839444474354,113.94949999999987,113.7506055552562,114.12985567841486,113.74775000000041,113.36564432158596,,0.5368970767964876,2025-02-27,2025-05-29,Buy,131.4496,USD,Buy,113.49457672994518,112.98703888377541
MUFG,"Mitsubishi UFJ Financial Group, Inc.",Major banks,Finance,NYSE,,160024974036.95737,USD,14.33,USD,14.85,USD,0.3800000000000008,USD,2.651779483600843,3.62875087229588,11598459073.8659,6928107,81837359,136905,12283709.4,6673117.966666667,3770415.4555555554,1.625441696113077,1.9523815457788434,2.0692191490790113,14.286666666666667,13.09752307832922,1.1658235620818327,0.5776811851793645,0.79166454,0.6545923,0.6482127,4.67574565780291,3.4686076206240215,1.6906762944711622,1.2577693550254203,0.5722651640860604,0.2926244017957144,0.846781398236341,4.5830706201003375,3.027658815525637,14.4399,USD,14.4399,USD,14.4399,USD,14.4399,USD,27.857115,USD,14.34,USD,14.35,USD,14.35,USD,14.35,USD,14.35,USD,14.38,USD,14.38,USD,14.4399,USD,14.4399,USD,530505.9005506521,USD,14.329000000000013,14.33249999999999,14.337380000000001,14.350153846153823,14.354024174804811,14.338499999999993,14.322975825195174,14.377820806045063,14.34700499999999,14.316189193954918,,0.5776811851793645,2025-02-04,2025-05-19,Buy,14.16335,USD,Sell,14.226131419298444,13.891855771602689
HDB,HDFC Bank Limited,Major banks,Finance,NYSE,,156585588022.57233,USD,63.72,USD,64.1,USD,0.030000000000001137,USD,0.047080979284370904,0.596359070935335,2548372943.57,3932465,12381056,414,2635903.1,2485232.2,2669192.988888889,1.6954523847250949,1.2729656189696645,1.453049709019741,63.669999999999995,19.52864016672285,1.678259553110664,1.578764530784998,0.22859214,0.7888892,0.92094713,2.355838465297352,4.543225619475439,15.206925290832059,10.99895003481877,3.8885617077190298,2.1859903829580065,1.8767180149727696,1.007314513605974,0.6581788379713411,64.18,USD,65.24,USD,68.5,USD,68.5,USD,84.7,USD,64.035,USD,64.18,USD,64.18,USD,64.18,USD,64.18,USD,64.18,USD,64.18,USD,64.18,USD,64.18,USD,226740.33672573703,USD,63.84084,63.90239999999997,63.821500000000164,63.574423076922955,64.12262274286559,63.876184999999985,63.629747257134376,63.944757547705635,63.46137500000018,62.97799245229473,,1.578764530784998,2025-01-22,2025-04-19,Strong buy,69.163486,USD,Buy,63.074974745000475,62.057193359735514
SONY,Sony Group Corporation,Computer processing hardware,Electronic technology,NYSE,NASDAQ CB Insights Metaverse US Index,151135656726.14398,USD,24.89,USD,25.19,USD,0.3999999999999986,USD,1.60707111289674,1.2053033346725621,6025087356.05986,4338288,34547512,26242,6341743.4,4975671.866666666,3969231.288888889,1.4216084484159133,1.5278233265898218,1.8910209273766987,24.813333333333333,20.258831189972327,0.8391362593958228,0.6644772843118276,1.3437277,1.17529,0.91609496,8.585610767888618,5.91400484295405,4.64136014260154,3.305445482505616,1.372807922013178,0.6240538054654071,0.8478742266084336,1.783179452015454,1.0115948718748813,25.635,USD,25.635,USD,25.635,USD,25.635,USD,31.475,USD,24.9,USD,24.9158,USD,24.9158,USD,24.9158,USD,24.9158,USD,24.9158,USD,24.93,USD,25.09,USD,25.09,USD,796861.679675503,USD,24.88484000000002,24.874899999999997,24.88899999999999,24.881923076923027,24.92018644340304,24.885210000000004,24.85023355659697,24.917210618154748,24.87200000000005,24.82678938184535,,0.6644772843118276,2025-02-13,2025-05-14,Buy,27.637852,USD,Strong buy,24.77005883463549,24.45912007746931
DHR,Danaher Corporation,Medical specialties,Health technology,NYSE,"S&P 500, S&P 500 Health Care, S&P 100, Russell 3000, Russell 1000, S&P 500 ESG",150267756454,USD,210.25,USD,211.51,USD,0.5,USD,0.23781212841854932,0.5992865636147401,647872464.93,2651177,12400428,3721,3840436.2999999775,4827905.700000012,3935282.022222191,2.0000000000000027,1.8828333466140068,2.514752289340569,209.79999999999995,39.76058548762269,0.6205589944538619,0.6375660637031502,0.45444733,0.937963,0.82636255,5.017596852938078,8.528854565262893,7.2595876951039156,3.8495237242270512,1.5250561999934107,0.9865442179681267,0.7929642781885619,0.5651925072444812,0.8896495931755096,216.15,USD,258.23,USD,279.9,USD,281.7,USD,296.022478,USD,210.57,USD,210.83,USD,210.83,USD,210.83,USD,210.83,USD,210.83,USD,211.65,USD,213.78,USD,216.15,USD,378968.253968254,USD,210.27099999999967,210.3137499999994,210.39800000000014,210.1778846153848,210.789626308856,210.41349999999997,210.03737369114396,210.66708076527814,210.0298750000001,209.39266923472204,,0.6375660637031502,2025-01-29,2025-04-17,Strong buy,266.909091,USD,Sell,210.5685483360948,210.01417254290337
NEE,"NextEra Energy, Inc.",Electric utilities,Utilities,NYSE,"S&P 500, S&P 500 Utilities, S&P 100, Nasdaq US Large Cap Growth, Russell 3000, Dow Jones Utility Average, Dow Jones Composite Average, Russell 1000, S&P 500 ESG, PHLX Utilities Sector",146357429164,USD,71.15,USD,70.99,USD,0.04999999999999716,USD,0.07027406886858349,-0.2248770203794951,2054816635.7199998,11816011,51439424,1585,13707330.5,11795645.333333334,11042524.022222223,2.252443688907782,2.288073315336597,2.699923041335473,71.27666666666667,21.091480405525584,0.6519146824465143,0.8901646212386211,0.410836,0.64191526,0.57439184,4.148849474160423,7.173837060361574,6.9089900997803735,4.947643071746652,1.8984301617893569,1.0253489340182966,0.7689788667912312,0.9149631336610206,0.8286588774364195,76.29,USD,76.29,USD,86.1,USD,86.1,USD,93.73,USD,71.19,USD,71.19,USD,71.19,USD,71.19,USD,71.19,USD,71.19,USD,72.09,USD,73.43,USD,76.29,USD,1452738.0952381,USD,71.13499999999993,71.06308749999992,70.88699999999992,70.76615384615378,71.20819753436415,70.88998500000011,70.57177246563607,70.99705270649852,70.75657500000037,70.51609729350221,,0.8901646212386211,2025-01-24,2025-04-29,Buy,86,USD,Strong buy,71.12665390820429,71.642346097297
VRTX,Vertex Pharmaceuticals Incorporated,Pharmaceuticals: major,Health technology,NASDAQ,"S&P 500, NASDAQ 100, NASDAQ Composite, S&P 500 Health Care, Nasdaq US Large Cap Growth, Russell 3000, Russell 1000, NASDAQ Biotechnology",131009062401,USD,510.18,USD,513.99,USD,0.9200000000000159,USD,0.1803285115057462,0.7467952487357408,256017575.68,1064713,4633254,300,1347397,1336917.6333333333,1545689.288888889,2.0138875150843636,2.2074037436784995,2.8554378531654683,510.4466666666666,,0.7733246376334004,0.7752011752450934,0.93950766,0.4405939,0.4149749,4.791500239654897,6.289722497184012,3.73396327630669,2.7807341067498865,1.375326381896684,0.6793862097647424,0.8882824786412069,0.6560234897055338,0.680170186531812,519.68,USD,519.68,USD,519.88,USD,519.88,USD,519.88,USD,513.12,USD,513.12,USD,513.12,USD,513.12,USD,513.12,USD,513.12,USD,515.67,USD,517.2,USD,519.68,USD,1800721.31147541,USD,510.3060000000005,510.2325000000002,509.88631999999996,509.71723846153844,510.6644094261327,510.0185799999998,509.37275057386694,510.81383000629853,509.5519999999998,508.29016999370106,,0.7752011752450934,2025-02-10,2025-04-30,Buy,505.730769,USD,Buy,510.69766315512425,506.89671890826605
